Victim Age,Victim Sex ,Victim Race ,Reported Date ,Reported Day of Week,Report Month,City,State,Season,Population,Disposition
78,Male,Hispanic,5/4/2010,1,5,Albuquerque,NM,Spring,545852,No Arrest
17,Male,Hispanic,2/16/2010,1,2,Albuquerque,NM,Winter,545852,Arrest Made
15,Female,White,6/1/2010,1,6,Albuquerque,NM,Summer,545852,No Arrest
32,Male,Hispanic,1/1/2010,4,1,Albuquerque,NM,Winter,545852,Arrest Made
72,Female,White,1/2/2010,5,1,Albuquerque,NM,Winter,545852,No Arrest
91,Female,White,1/26/2010,1,1,Albuquerque,NM,Winter,545852,No Arrest
52,Male,Hispanic,1/27/2010,2,1,Albuquerque,NM,Winter,545852,Arrest Made
52,Female,Hispanic,1/27/2010,2,1,Albuquerque,NM,Winter,545852,Arrest Made
56,Male,White,1/30/2010,5,1,Albuquerque,NM,Winter,545852,No Arrest
43,Male,Hispanic,2/10/2010,2,2,Albuquerque,NM,Winter,545852,No Arrest
20,Male,Hispanic,2/12/2010,4,2,Albuquerque,NM,Winter,545852,Arrest Made
46,Male,Hispanic,2/22/2010,0,2,Albuquerque,NM,Winter,545852,No Arrest
16,Male,Other,3/6/2010,5,3,Albuquerque,NM,Spring,545852,Arrest Made
54,Male,Hispanic,3/8/2010,0,3,Albuquerque,NM,Spring,545852,Arrest Made
43,Female,White,3/8/2010,0,3,Albuquerque,NM,Spring,545852,Arrest Made
52,Male,Hispanic,3/22/2010,0,3,Albuquerque,NM,Spring,545852,Arrest Made
22,Female,White,4/2/2010,4,4,Albuquerque,NM,Spring,545852,Arrest Made
49,Male,Hispanic,4/20/2010,1,4,Albuquerque,NM,Spring,545852,Arrest Made
15,Male,Black,4/23/2010,4,4,Albuquerque,NM,Spring,545852,Arrest Made
25,Male,Black,4/23/2010,4,4,Albuquerque,NM,Spring,545852,Arrest Made
20,Male,White,5/18/2010,1,5,Albuquerque,NM,Spring,545852,Arrest Made
47,Male,Other,6/2/2010,2,6,Albuquerque,NM,Summer,545852,Arrest Made
88,Female,White,6/2/2010,2,6,Albuquerque,NM,Summer,545852,No Arrest
27,Female,Hispanic,6/3/2010,3,6,Albuquerque,NM,Summer,545852,Arrest Made
36,Female,White,7/12/2010,0,7,Albuquerque,NM,Summer,545852,No Arrest
47,Female,White,7/12/2010,0,7,Albuquerque,NM,Summer,545852,No Arrest
1,Female,Asian,7/26/2010,0,7,Albuquerque,NM,Summer,545852,No Arrest
58,Male,Hispanic,7/28/2010,2,7,Albuquerque,NM,Summer,545852,No Arrest
42,Male,Hispanic,7/28/2010,2,7,Albuquerque,NM,Summer,545852,No Arrest
50,Male,Hispanic,8/18/2010,2,8,Albuquerque,NM,Summer,545852,Arrest Made
3,Female,Other,8/20/2010,4,8,Albuquerque,NM,Summer,545852,Arrest Made
1,Male,Hispanic,8/22/2010,6,8,Albuquerque,NM,Summer,545852,Arrest Made
21,Female,Hispanic,8/22/2010,6,8,Albuquerque,NM,Summer,545852,Arrest Made
19,Female,Hispanic,9/2/2010,3,9,Albuquerque,NM,Fall,545852,Arrest Made
46,Male,Hispanic,6/6/2011,0,6,Albuquerque,NM,Summer,552105,Arrest Made
95,Female,Other,9/16/2010,3,9,Albuquerque,NM,Fall,545852,No Arrest
24,Male,White,9/19/2010,6,9,Albuquerque,NM,Fall,545852,Arrest Made
41,Male,White,9/19/2010,6,9,Albuquerque,NM,Fall,545852,Arrest Made
