LOCATION,reported_year,uid,POPULATION,homicides_per_100000
"Albuquerque, NM",2010,43,545852,7.8775931937594805
"Albuquerque, NM",2011,37,552105,6.701623785330688
"Albuquerque, NM",2012,44,555074,7.926871011793023
"Albuquerque, NM",2013,32,557547,5.739426451940374
"Albuquerque, NM",2014,27,557566,4.842476047678661
"Albuquerque, NM",2015,41,558086,7.346537988768756
"Albuquerque, NM",2016,55,559350,9.83284169124877
"Albuquerque, NM",2017,5,559796,0.8931825164881492
"Atlanta, GA",2007,127,410086,30.969113795642862
"Atlanta, GA",2008,104,414233,25.106642879731936
"Atlanta, GA",2009,79,417090,18.940756191709223
"Atlanta, GA",2010,93,420003,22.142698980721566
"Atlanta, GA",2011,87,437863,19.869228502979244
"Atlanta, GA",2012,83,449118,18.480666550884177
"Atlanta, GA",2013,82,454148,18.055787981010596
"Atlanta, GA",2014,93,461358,20.15788173175712
"Atlanta, GA",2015,94,468573,20.060908332319617
"Atlanta, GA",2016,111,479590,23.14476949060656
"Atlanta, GA",2017,15,492121,3.0480308704566563
"Baltimore, MD",2007,280,620306,45.13901203599514
"Baltimore, MD",2008,234,620184,37.730737974536595
"Baltimore, MD",2009,236,620509,38.033292023161636
"Baltimore, MD",2010,220,620961,35.428956085808935
"Baltimore, MD",2011,197,620493,31.748948013917968
"Baltimore, MD",2012,216,623035,34.6689993339058
"Baltimore, MD",2013,231,622591,37.10300984113166
"Baltimore, MD",2014,211,623833,33.8231545942584
"Baltimore, MD",2015,342,622831,54.91056161302183
"Baltimore, MD",2016,320,616542,51.90238459018201
"Baltimore, MD",2017,340,610853,55.65987234244573
"Baton Rouge, LA",2011,64,228527,28.005443558091603
"Baton Rouge, LA",2012,67,228805,29.282576866764273
"Baton Rouge, LA",2013,49,228284,21.46449159818472
"Baton Rouge, LA",2014,52,227815,22.825538265698043
"Baton Rouge, LA",2015,61,227191,26.8496551359869
"Baton Rouge, LA",2016,43,226712,18.966794876318854
"Baton Rouge, LA",2017,87,224441,38.762971114903245
"Birmingham, AL",2007,91,218880,41.57529239766082
"Birmingham, AL",2008,77,216505,35.56499849887993
"Birmingham, AL",2009,65,214394,30.31801263095049
"Birmingham, AL",2010,58,212237,27.32793999161315
"Birmingham, AL",2011,51,211554,24.1073201168496
"Birmingham, AL",2012,65,210775,30.838571936899537
"Birmingham, AL",2013,64,211270,30.292990012779853
"Birmingham, AL",2014,51,211179,24.150128563919708
"Birmingham, AL",2015,78,211811,36.8252829173178
"Birmingham, AL",2016,88,211512,41.60520443284542
"Birmingham, AL",2017,97,211125,45.944345766725874
"Boston, MA",2007,66,593136,11.127296269321032
"Boston, MA",2008,66,600685,10.987455987747321
"Boston, MA",2009,48,612669,7.834572991288933
"Boston, MA",2010,72,617594,11.65814434725726
"Boston, MA",2011,63,630620,9.990168405695982
"Boston, MA",2012,58,643180,9.01769333623558
"Boston, MA",2013,41,653312,6.27571512539185
"Boston, MA",2014,53,663260,7.990833157434491
"Boston, MA",2015,39,670982,5.812376486999652
"Boston, MA",2016,46,680218,6.762537892263952
"Boston, MA",2017,53,688239,7.700813234937281
"Buffalo, NY",2007,56,268358,20.867646949224543
"Buffalo, NY",2008,36,265732,13.54748393117878
"Buffalo, NY",2009,61,263100,23.185100722158875
"Buffalo, NY",2010,53,261310,20.282423175538632
"Buffalo, NY",2011,33,260721,12.657208280115526
"Buffalo, NY",2012,48,260183,18.448553518100724
"Buffalo, NY",2013,47,260058,18.072891431911344
"Buffalo, NY",2014,61,259604,23.497326697585553
"Buffalo, NY",2015,40,258232,15.489947024381175
"Buffalo, NY",2016,44,256911,17.12655355356524
"Buffalo, NY",2017,31,256407,12.09015354495002
"Charlotte, NC",2007,70,691568,10.121925826527544
"Charlotte, NC",2008,76,709993,10.704330887769316
"Charlotte, NC",2009,52,724333,7.179018490114354
"Charlotte, NC",2010,58,731424,7.929737060856631
"Charlotte, NC",2011,54,754943,7.152857897881033
"Charlotte, NC",2012,49,773506,6.334792490297425
"Charlotte, NC",2013,53,792408,6.688473614602579
"Charlotte, NC",2014,40,807875,4.9512610242921244
"Charlotte, NC",2015,60,826270,7.261548888377892
"Charlotte, NC",2016,67,843989,7.938492089351876
"Charlotte, NC",2017,82,861170,9.521929468049281
"Chicago, IL",2007,445,2703991,16.457155367750854
"Chicago, IL",2008,510,2697359,18.907383110664913
"Chicago, IL",2009,457,2697006,16.944715732927552
"Chicago, IL",2010,434,2695598,16.10032356456712
"Chicago, IL",2011,435,2708067,16.06311808385834
"Chicago, IL",2012,504,2719039,18.53596068316784
"Chicago, IL",2013,423,2725575,15.51966098896563
"Chicago, IL",2014,417,2726800,15.292650726125862
"Chicago, IL",2015,481,2724006,17.65781720010896
"Chicago, IL",2016,764,2716297,28.12652666479402
"Chicago, IL",2017,653,2710456,24.09188712157659
"Cincinnati, OH",2007,67,301824,22.19836726039016
"Cincinnati, OH",2008,76,299145,25.405739691453977
"Cincinnati, OH",2009,56,298239,18.77688699331744
"Cincinnati, OH",2010,70,296943,23.573547785265188
"Cincinnati, OH",2011,66,296292,22.275322992183387
"Cincinnati, OH",2012,53,297031,17.843255417784675
"Cincinnati, OH",2013,74,298058,24.827382589965712
"Cincinnati, OH",2014,62,298809,20.749040356883494
"Cincinnati, OH",2015,36,299649,12.014056446041868
"Cincinnati, OH",2016,61,299978,20.334824553800612
"Cincinnati, OH",2017,70,301852,23.190172667399917
"Columbus, OH",2007,79,760224,10.391674032916614
"Columbus, OH",2008,107,770530,13.886545624440322
"Columbus, OH",2009,83,780950,10.628081183174338
"Columbus, OH",2010,103,787033,13.087125952787241
"Columbus, OH",2011,89,800677,11.115593429060658
